"","Ecosystem","Season","P_conc","Ca_conc","flux_gm2yr"
"1","Foothills","NDJ",1028,10861,5.30717339677778
"2","Montane","NDJ",778,7455,8.60828664255556
"3","Foothills","FMA",1134,9418,6.99966222233333
"4","Montane","FMA",1235.5,8839.5,7.3705484908
"5","Plains","MJ",2417.95,8247,15.9865434044444
"6","Foothills","MJ",3245.3,5843,21.7346548146667
"7","Montane","MJ",3558.5,4760.5,12.9835457947143
"8","Plains","JAS",2007.5,9701.5,14.28253825
"9","Foothills","JAS",2652,8372.5,9.70782692
"10","Montane","JAS",2813,7236.5,10.4456041433333
"11","Subalpine","JAS",1958,7061,11.84322330175
"12","Alpine","JAS",3351,12149.5,6.37174662683333
